Meal,Ingredients,Item type
Indonesian noodles,Noodles,Pantry
Indonesian noodles,Pork,Fresh
Indonesian noodles,Pepper,Pantry
Indonesian noodles,Peanuts,Pantry
Indonesian noodles,Lime,Fresh
Indonesian noodles,Ketjap manis,Pantry
Indonesian noodles,Indonesian spice mix,Pantry
Indonesian noodles,Honey,Pantry
Thai green style chicken curry,Rice,Pantry
Thai green style chicken curry,Chicken,Fresh
Thai green style chicken curry,Thai paste,Pantry
Thai green style chicken curry,Coconut milk,Pantry
Thai green style chicken curry,Lime,Fresh
Thai green style chicken curry,Spinach,Fresh
Thai green style chicken curry,Thai spice blend,Pantry
Szechaun pork noodles,Noodles,Pantry
Szechaun pork noodles,Pork,Fresh
Szechaun pork noodles,Mushrooms,Fresh
Szechaun pork noodles,Szechaun paste,Fresh
Szechaun pork noodles,Ketjap manis,Pantry
Szechaun pork noodles,Soy sauce,Pantry
Hoisin beef noodles,Noodles,Pantry
Hoisin beef noodles,Beef,Fresh
Hoisin beef noodles,Green beans,Fresh
Hoisin beef noodles,Peanuts,Pantry
Hoisin beef noodles,Lime,Fresh
Hoisin beef noodles,Ginger,Pantry
Hoisin beef noodles,Hoisin,Pantry
Hoisin beef noodles,Sweet chilli sauce,Pantry
Hoisin beef noodles,Soy sauce,Pantry
Presto bacon and mushroom linguine,Pasta,Fresh
Presto bacon and mushroom linguine,Bacon,Fresh
Presto bacon and mushroom linguine,Mushrooms,Fresh
Presto bacon and mushroom linguine,Tenderstem broccoli,Fresh
Presto bacon and mushroom linguine,Cream,Fresh
Presto bacon and mushroom linguine,Parm,Pantry
Chermoula prawns,Cous cous,Pantry
Chermoula prawns,Prawns,Fresh
Chermoula prawns,Courgette,Fresh
Chermoula prawns,Zhoug style paste,Fresh
Chermoula prawns,Yoghurt,Fresh
Chermoula prawns,Chermoula spice mix,Pantry
Ginger sesame veg noodles (big mushroom),Noodles,Pantry
Ginger sesame veg noodles (big mushroom),Portobello mushrooms,Fresh
Ginger sesame veg noodles (big mushroom),Tenderstem broccoli,Fresh
Ginger sesame veg noodles (big mushroom),Carrots,Fresh
Ginger sesame veg noodles (big mushroom),Ginger,Pantry
Ginger sesame veg noodles (big mushroom),"Ginger, garlic, lemongrass puree",Pantry
Ginger sesame veg noodles (big mushroom),Soy sauce,Pantry
Ginger sesame veg noodles (big mushroom),Ketjap manis,Pantry
Ginger sesame veg noodles (big mushroom),Honey,Pantry
Ginger sesame veg noodles (big mushroom),Sesame seeds,Pantry
Chicken katsu burger and wedges,Potatoes,Fresh
Chicken katsu burger and wedges,Chicken,Fresh
Chicken katsu burger and wedges,Korma paste,Pantry
Chicken katsu burger and wedges,Honey,Pantry
Chicken katsu burger and wedges,Panko,Pantry
Chicken katsu burger and wedges,Burger buns,Fresh
Chicken katsu burger and wedges,Egg,Fresh
Chicken katsu burger and wedges,Mayo,Pantry
Chicken katsu burger and wedges,Any veggie side,Fresh
Cajun spiced bass and chive dressing,Potatoes,Fresh
Cajun spiced bass and chive dressing,Sea bass,Fresh
Cajun spiced bass and chive dressing,Sweet potato,Fresh
Cajun spiced bass and chive dressing,Lemon,Fresh
Cajun spiced bass and chive dressing,Chives,Fresh
Cajun spiced bass and chive dressing,Cavolo nero,Fresh
Cajun spiced bass and chive dressing,Cajun spice,Pantry
Cheesey Korean inspired loaded wedges,Potatoes,Fresh
Cheesey Korean inspired loaded wedges,Beef,Fresh
Cheesey Korean inspired loaded wedges,Coleslaw mix,Fresh
Cheesey Korean inspired loaded wedges,Cheese (40 g),Fresh
Cheesey Korean inspired loaded wedges,Scallies,Fresh
Cheesey Korean inspired loaded wedges,Gochujang,Pantry
Cheesey Korean inspired loaded wedges,Hoisin,Pantry
Cheesey Korean inspired loaded wedges,Sesame seeds,Pantry
Cheesey chorizo topped enchiladas,Tortilla,Fresh
Cheesey chorizo topped enchiladas,Beef,Fresh
Cheesey chorizo topped enchiladas,Potatoes,Fresh
Cheesey chorizo topped enchiladas,Black beans,Pantry
Cheesey chorizo topped enchiladas,Chorizo,Fresh
Cheesey chorizo topped enchiladas,Cheese,Fresh
Cheesey chorizo topped enchiladas,Mexican spice mix,Pantry
Cheesey chorizo topped enchiladas,Red wine stock,Pantry
Cheesey chorizo topped enchiladas,Avocado,Fresh
Cheesey chorizo topped enchiladas,Lime,Fresh
Cheesey chorizo topped enchiladas,Sour cream,Fresh
Chorizo and pea risotto,Arborio rice,Pantry
Chorizo and pea risotto,Chorizo,Fresh
Chorizo and pea risotto,Red onion,Fresh
Chorizo and pea risotto,Peas,Pantry
Chorizo and pea risotto,Parm,Pantry
Chorizo and pea risotto,Garlic,Pantry
Chorizo and pea risotto,Chicken stock,Pantry
Honey mustard sausages and onion gravy,Potatoes,Fresh
Honey mustard sausages and onion gravy,Sausages,Fresh
Honey mustard sausages and onion gravy,Carrots,Fresh
Honey mustard sausages and onion gravy,Potatoes,Fresh
Honey mustard sausages and onion gravy,Balsamic vinegar,Pantry
Honey mustard sausages and onion gravy,Red onion,Fresh
Honey mustard sausages and onion gravy,Redcurrant jelly,Fresh
Honey mustard sausages and onion gravy,Spinach,Fresh
Honey mustard sausages and onion gravy,Red wine stock,Pantry
Crispy Japanese style fried chicken,Potatoes,Fresh
Crispy Japanese style fried chicken,Chicken,Fresh
Crispy Japanese style fried chicken,Panko,Pantry
Crispy Japanese style fried chicken,Sriracha,Pantry
Crispy Japanese style fried chicken,Tenderstem broccoli,Fresh
Crispy Japanese style fried chicken,Soy sauce,Pantry
Crispy Japanese style fried chicken,Sesame seeds,Pantry
Crispy Japanese style fried chicken,Cornflour,Pantry
Crispy Japanese style fried chicken,Mayo,Pantry
Crispy Japanese style fried chicken,Shiitake mushrooms,Fresh
Crispy Japanese style fried chicken,Garlic,Pantry
Korma spiced pork pilaf and mango chutney,Rice,Pantry
Korma spiced pork pilaf and mango chutney,Pork,Fresh
Korma spiced pork pilaf and mango chutney,Garlic,Pantry
Korma spiced pork pilaf and mango chutney,Korma paste,Pantry
Korma spiced pork pilaf and mango chutney,Mango chutney,Fresh
Korma spiced pork pilaf and mango chutney,Chicken stock,Pantry
Korma spiced pork pilaf and mango chutney,Peas,Pantry
Korma spiced pork pilaf and mango chutney,Greek yoghurt,Fresh
Chipotle BBQ bean chilli jacket potato,Potatoes,Fresh
Chipotle BBQ bean chilli jacket potato,Beans,Pantry
Chipotle BBQ bean chilli jacket potato,Passata,Fresh
Chipotle BBQ bean chilli jacket potato,Vegetable stock,Pantry
Chipotle BBQ bean chilli jacket potato,Burger sauce,Pantry
Chipotle BBQ bean chilli jacket potato,BBQ sauce,Pantry
Chipotle BBQ bean chilli jacket potato,Chipotle paste,Pantry
Chipotle BBQ bean chilli jacket potato,Coleslaw mix,Fresh
Chipotle BBQ bean chilli jacket potato,Cheese (60 g),Fresh
Chipotle BBQ bean chilli jacket potato,Sour cream,Fresh
Fragrant pork and mushroom stir fry,Rice,Pantry
Fragrant pork and mushroom stir fry,Pork,Fresh
Fragrant pork and mushroom stir fry,Lime,Fresh
Fragrant pork and mushroom stir fry,Mushrooms,Fresh
Fragrant pork and mushroom stir fry,Ketjap manis,Pantry
Fragrant pork and mushroom stir fry,Chilli flakes,Pantry
Fragrant pork and mushroom stir fry,Pak choi,Fresh
Fragrant pork and mushroom stir fry,"Ginger, garlic, lemongrass puree",Pantry
Fragrant pork and mushroom stir fry,Soy sauce,Pantry
Sticky honey pork rice bowl,Rice,Pantry
Sticky honey pork rice bowl,Pork,Fresh
Sticky honey pork rice bowl,Tenderstem broccoli,Fresh
Sticky honey pork rice bowl,Lime,Fresh
Sticky honey pork rice bowl,Ginger,Pantry
Sticky honey pork rice bowl,Honey,Pantry
Sticky honey pork rice bowl,Garlic,Pantry
Sticky honey pork rice bowl,Coleslaw mix,Fresh
Sticky honey pork rice bowl,Ketjap manis,Pantry
Sticky honey pork rice bowl,Soy sauce,Pantry
Speedy spag bol,Pasta,Fresh
Speedy spag bol,Beef,Fresh
Speedy spag bol,Onions,Fresh
Speedy spag bol,Beef stock cube,Pantry
Speedy spag bol,Spinach,Fresh
Speedy spag bol,Garlic,Pantry
Speedy spag bol,Canned tomatoes,Pantry
Speedy spag bol,Parm,Pantry
Herby root veg traybake with IKEA meatball sauce,Potatoes,Fresh
Herby root veg traybake with IKEA meatball sauce,Red onion,Fresh
Herby root veg traybake with IKEA meatball sauce,Green beans,Fresh
Herby root veg traybake with IKEA meatball sauce,Chives,Fresh
Herby root veg traybake with IKEA meatball sauce,Carrots,Fresh
Herby root veg traybake with IKEA meatball sauce,Herbs,Fresh
Herby root veg traybake with IKEA meatball sauce,Garlic,Pantry
Herby root veg traybake with IKEA meatball sauce,Vegetable stock,Pantry
Herby root veg traybake with IKEA meatball sauce,IKEA meatball sauce,Fresh
Sticky peri peri chicken,Rice,Pantry
Sticky peri peri chicken,Chicken,Fresh
Sticky peri peri chicken,Garlic,Pantry
Sticky peri peri chicken,Red wine vinegar,Pantry
Sticky peri peri chicken,Chicken stock,Pantry
Sticky peri peri chicken,Yoghurt,Fresh
Sticky peri peri chicken,Peri peri seasoning,Pantry
Sticky peri peri chicken,Sweetcorn,Pantry
Sticky peri peri chicken,Onions,Fresh
Sticky peri peri chicken,Central American Style Spice Mix,Pantry
Sticky peri peri chicken,Rocket,Fresh
Sticky peri peri chicken,Honey,Pantry
Thai style beef bowl,Rice,Pantry
Thai style beef bowl,Beef,Fresh
Thai style beef bowl,Garlic,Pantry
Thai style beef bowl,Mangetout,Fresh
Thai style beef bowl,Ketjap manis,Pantry
Thai style beef bowl,Shallot,Fresh
Thai style beef bowl,Red chilli,Pantry
Thai style beef bowl,Soy sauce,Pantry
Creamy double mushroom penne,Pasta,Fresh
Creamy double mushroom penne,Red onion,Fresh
Creamy double mushroom penne,Garlic,Pantry
Creamy double mushroom penne,Mushrooms,Fresh
Creamy double mushroom penne,Vegetable stock,Pantry
Creamy double mushroom penne,Parm,Pantry
Creamy double mushroom penne,Balsamic vinegar,Pantry
Creamy double mushroom penne,Cream,Fresh
Mexican pilaf,Rice,Pantry
Mexican pilaf,Beef,Fresh
Mexican pilaf,Cumin,Pantry
Mexican pilaf,Pepper,Pantry
Mexican pilaf,Sour cream,Fresh
Mexican pilaf,Chipotle paste,Pantry
Mexican pilaf,Tomato paste,Pantry
Mexican pilaf,Honey,Pantry
Doireann burgers (4 burgers),Burger buns,Fresh
Doireann burgers (4 burgers),Burger patties,Fresh
Doireann burgers (4 burgers),Welsh rarebit cheese,Fresh
Doireann burgers (4 burgers),Burger toppings,Fresh
Doireann burgers (4 burgers),"Burger side e.g., chips",Fresh
Kelan salmon,Salmon,Fresh
Kelan salmon,Asparagus,Fresh
Kelan salmon,Lemon,Fresh
Kelan salmon,Soy sauce,Pantry
Kelan salmon,Potatoes,Fresh
Kelan salmon,Garlic,Pantry
Doireann butter chicken,Chicken,Fresh
Doireann butter chicken,Rice,Pantry
Doireann butter chicken,Canned tomatoes,Pantry
Doireann butter chicken,Coconut milk,Pantry
Doireann butter chicken,Yoghurt,Fresh
Doireann butter chicken,Tandoori masala,Pantry
Doireann butter chicken,Cardamom,Pantry
Doireann and Kelan's General T's,Chicken,Fresh
Doireann and Kelan's General T's,Soy sauce,Pantry
Doireann and Kelan's General T's,Honey,Pantry
Doireann and Kelan's General T's,Brown sugar,Pantry
Doireann and Kelan's General T's,Garlic,Pantry
Doireann and Kelan's General T's,Ginger,Pantry
Doireann and Kelan's General T's,Rice vinegar,Pantry
Doireann and Kelan's General T's,Hoisin,Pantry
Doireann and Kelan's General T's,Scallies,Fresh
Salty Marshmallow Mac and Cheese,Macaroni,Fresh
Salty Marshmallow Mac and Cheese,Shredded cheddar,Fresh
Salty Marshmallow Mac and Cheese,Shredded mozzarella and cheddar mix,Fresh
Chopped cheese/Philly cheesesteak,Hoagie rolls,Fresh
Chopped cheese/Philly cheesesteak,Steak/mince,Fresh
Chopped cheese/Philly cheesesteak,Cheese,Fresh
Chopped cheese/Philly cheesesteak,Onions,Fresh
Chopped cheese/Philly cheesesteak,Garlic,Pantry
Trenette al pesto,Pine nuts,Fresh
Trenette al pesto,Garlic,Pantry
Trenette al pesto,Basil,Fresh
Trenette al pesto,Parm,Pantry
Trenette al pesto,Pecorino,Pantry
Trenette al pesto,Potatoes,Fresh
Trenette al pesto,Green beans,Fresh
Trenette al pesto,Pasta,Fresh
Goan prawn curry,Rice,Pantry
